Charlie Babb
Bob Babcock
Loren Babe
Johnny Babich
Charlie Babington
Shooty Babitt
Lake Bachar
Sam Bachman
Brandon Backe
Les Backman
Wally Backman
Eddie Bacon
Mike Bacsik
Mike Bacsik
Dakota Bacus
Fred Baczewski
Akil Baddoo
Burke Badenhop
Art Bader
Harrison Bader
Lore Bader
Red Badgro
Ji Hwan Bae
Ed Baecht
Cha-Seung Baek
Carlos Baerga
Rudy Baerwald
Benito Báez
Danys Báez
Javier Báez
José Báez
Julio Baez
Kevin Baez
Michel Báez
Pedro Báez
Sandy Báez
Babe Bagby
Jim Bagby
Jim Bagby
Ed Bagley
Gene Bagley
Bill Bagwell
Jeff Bagwell
Stan Bahnsen
Ed Bahr
Frank Bahret
Grover Baichley
Scott Bailes
Bailey
Abraham Bailey
Alonza Bailey
Andrew Bailey
Bill Bailey
Bill Bailey
Bob Bailey
Brandon Bailey
Cory Bailey
Ed Bailey
Fred Bailey
Gene Bailey
Harvey Bailey
Homer Bailey
Howard Bailey
Jeff Bailey
Jim Bailey
King Bailey
Mark Bailey
Patrick Bailey
Percy Bailey
Roger Bailey
Steve Bailey
Bob Bailor
Loren Bain
Harold Baines
Doug Bair
Baird
Al Baird
Bob Baird
Doug Baird
Jeff Baisley
Jeff Bajenaru
Dave Bakenhaster
Al Baker
Bill Baker
Bryan Baker
Charles Baker
Charlie Baker
Chuck Baker
Darren Baker
Dave Baker
Del Baker
Doug Baker
Dusty Baker
Edgar Baker
Ernie Baker
Floyd Baker
Frank Baker
Frank Baker
Gene Baker
George Baker
Henry Baker
Home Run Baker
Howard Baker
Jack Baker
Jeff Baker
Jesse Baker
Jesse Baker
John Baker
Kirtley Baker
Luken Baker
Neal Baker
Norm Baker
Phil Baker
Rufus Baker
Scott Baker
Scott Baker
Steve Baker
Tom Baker
Tom Baker
Tracy Baker
Jersey Bakley
Paul Bako
Mike Balas
John Balaz
Jordan Balazovic
Steve Balboni
Bobby Balcena
Rocco Baldelli
Alberto Baldonado
Jack Baldschun
Baldwin
Billy Baldwin
Brooks Baldwin
Dave Baldwin
Drake Baldwin
Frank Baldwin
Harry Baldwin
Henry Baldwin
James Baldwin
Jeff Baldwin
Kid Baldwin
Lady Baldwin
Mark Baldwin
Orson Baldwin
Reggie Baldwin
Rick Baldwin
Tiny Baldwin
John Bale
Mike Balenti
Wladimir Balentien
Lee Bales
Collin Balester
Grant Balfour
Art Ball
Jeff Ball
Jim Ball
Neal Ball
Walter Ball
Jeff Ballard
Pelham Ballenger
Jay Baller
Pedro Ballester
Moisés Ballesteros
Mark Ballinger
Win Ballou
Tony Balsamo
George Bamberger
Hal Bamberger
Studs Bancker
Dave Bancroft
Anthony Banda
Chris Bando
Sal Bando
Jett Bandy
Eddie Bane
Dick Baney
